gene,enzyme_wild,enzyme_over,reaction_bio,reaction_pro,ref_e_con(g/gDW),over_e_con(g/gDW),Fold_change,enzyme_usage_over,manipulations_x,e1(mmol/gDW),kcat(1/h),mw(g/mg),reaction,flux_wild,flux_over,equation,manipulations_y,type
Cgl2770,"['5.216e-04', '6.507e-04']","['6.995e-04', '7.559e-04']",FBA (3.302195906011036): fdp_c --> dhap_c + g3p_c,FBA (4.367191784266846): fdp_c --> dhap_c + g3p_c,0.0005292,0.0006999,1.323,1.343,Up,1.881e-05,"[('FBA', 232200.0)]",37.21,FBA,"['1.378e+00', '1.000e+03']","['4.191e+00', '1.000e+03']",fdp_c --> dhap_c + g3p_c,,Overlaped Reaction Range
Cgl1623,"['5.827e-03', '5.948e-03']","['6.134e-04', '6.655e-04']",CHORS (0.10432548228925229): 3psme_c --> chor_c + pi_c,,0.005827,0.0006134,0.1053,1.177,down,3.506e-06,,174.9,CHORS,"['1.057e-01', '2.432e-01']","['1.112e-02', '1.554e-01']",3psme_c --> chor_c + pi_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS100_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '3.281e-02']",h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS120_num1,"['0.000e+00', '9.092e-02']","['0.000e+00', '1.486e-02']",dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS121_num1,"['0.000e+00', '1.099e-01']","['0.000e+00', '1.795e-02']",cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS140_num1,"['0.000e+00', '9.092e-02']","['0.000e+00', '1.486e-02']",ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS141_num1,"['0.000e+00', '1.099e-01']","['0.000e+00', '1.795e-02']",cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS160_num1,"['0.000e+00', '8.961e-02']","['0.000e+00', '1.464e-02']",h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS161_num1,"['0.000e+00', '1.075e-01']","['0.000e+00', '1.756e-02']",h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS180_num1,"['0.000e+00', '1.837e-03']","['0.000e+00', '3.003e-04']",h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS181_num1,"['0.000e+00', '1.053e-01']","['0.000e+00', '1.721e-02']",h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS60_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '3.281e-02']",butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,3OAS80_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '3.281e-02']",h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,AACPS1_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '2.582e+01']",ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,AACPS2_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '2.582e+01']",ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,AACPS3_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '2.582e+01']",ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,AACPS4_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '2.582e+01']",ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,AACPS5_num1,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.235e-04', '4.909e-04']","3OAS100_num1 (0.18833934715605433): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128763137): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128763137): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479332218): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.1883393471560543): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.1883393471560543): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.1883393471560543): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.842,down,2.974e-05,,14.75,AACPS6_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '2.582e+01']",ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,,Overlaped Reaction Range
